"id","en-US","context","ar-SA","de-DE","es-ES","fi-FI","fr-FR","hu-HU","it-IT","ja-JP","ko-KR","ml-IN","nl-NL","pl-PL","pt-BR","pt-PT","ru-RU","sv-SE","uk-UA","zh-CN","zh-TW","qps-ploc"
"IDS_CUSTOMIZE_TITLE","Customize - DeskTick","Customize dialog title when the face has no options. DeskTick is the product name: do not translate.","تخصيص - DeskTick","Anpassen - DeskTick","Personalizar - DeskTick","Mukauta - DeskTick","Personnaliser - DeskTick","Testreszabás - DeskTick","Personalizza - DeskTick","カスタマイズ - DeskTick","사용자 지정 - DeskTick","ഇഷ്ടാനുസൃതമാക്കുക - DeskTick","Aanpassen - DeskTick","Dostosuj - DeskTick","Personalizar - DeskTick","Personalizar - DeskTick","Настроить - DeskTick","Anpassa - DeskTick","Налаштувати - DeskTick","自定义 - DeskTick","自訂 - DeskTick","[Çúšţómížé - DéškTíçk !!!!!!!!]"
"IDS_CUSTOMIZE_NOTHING","This face has nothing to customize.","Customize dialog body text for a clock face with no options.","لا يوجد ما يمكن تخصيصه في واجهة الساعة هذه.","Für dieses Zifferblatt gibt es nichts einzustellen.","Esta esfera no tiene nada que personalizar.","Tässä kellotaulussa ei ole mitään mukautettavaa.","Ce cadran n'a rien à personnaliser.","Ezen a számlapon nincs mit testreszabni.","Questo quadrante non ha nulla da personalizzare.","この文字盤にカスタマイズできる項目はありません。","이 시계판에는 사용자 지정할 항목이 없습니다.","ഈ ഡയലിൽ ഇഷ്ടാനുസൃതമാക്കാൻ ഒന്നുമില്ല.","Deze wijzerplaat heeft niets om aan te passen.","Ta tarcza nie ma nic do dostosowania.","Este mostrador não tem nada para personalizar.","Este mostrador não tem nada para personalizar.","В этом циферблате нечего настраивать.","Den här urtavlan har inget att anpassa.","У цьому циферблаті немає чого налаштовувати.","此表盘没有可自定义的项目。","此錶面沒有可自訂的項目。","[Thíš fáçé háš ñóţhíñğ ţó çúšţómížé. !!!!!!!!!!!!!!]"
"IDS_RESET_FACE","Reset this face","Customize dialog button. Restores the current face's options to their defaults. Keep it short.","إعادة تعيين","Zurücksetzen","Restablecer","Palauta","Réinitialiser","Alaphelyzetbe állítás","Reimposta","リセット","초기화","പുനഃസജ്ജമാക്കുക","Herstellen","Przywróć domyślne","Redefinir","Repor","Сбросить","Återställ","Скинути","重置","重設","[Réšéţ ţhíš fáçé !!!!!!]"
"IDS_ABOUT_TITLE","About DeskTick","About box title bar. DeskTick is the product name: do not translate.","حول DeskTick","Über DeskTick","Acerca de DeskTick","Tietoja DeskTickista","À propos de DeskTick","A DeskTick névjegye","Informazioni su DeskTick","DeskTick について","DeskTick 정보","DeskTick-നെക്കുറിച്ച്","Over DeskTick","DeskTick — informacje","Sobre o DeskTick","Acerca do DeskTick","О программе DeskTick","Om DeskTick","Про DeskTick","关于 DeskTick","關於 DeskTick","[Ábóúţ DéškTíçk !!!!!!]"
"IDS_FEEDBACK","Report issues or send feedback to","About box. Followed on the next line by an email address.","للإبلاغ عن المشكلات أو إرسال الملاحظات إلى","Probleme melden oder Feedback senden an","Informar de problemas o enviar comentarios a","Ilmoita ongelmista tai lähetä palautetta osoitteeseen","Signaler un problème ou envoyer vos commentaires à","Hibák jelentése vagy visszajelzés küldése ide","Segnala problemi o invia commenti a","問題の報告やフィードバックの送信先","문제 신고 또는 피드백 보내기:","പ്രശ്നങ്ങൾ അറിയിക്കാനോ അഭിപ്രായം അയയ്ക്കാനോ ബന്ധപ്പെടുക:","Problemen melden of feedback sturen naar","Zgłoś problem lub wyślij opinię na adres","Relatar problemas ou enviar comentários para","Comunicar problemas ou enviar comentários para","Сообщить о проблеме или отправить отзыв на","Rapportera problem eller skicka feedback till","Повідомити про проблему або надіслати відгук на","报告问题或发送反馈至","回報問題或傳送意見至","[Répóŕţ íššúéš óŕ šéñđ fééđbáçk ţó !!!!!!!!!!!!!!]"
"IDS_OTHER_APPS","Other apps","About box section heading above a list of other apps by the same developer.","تطبيقات أخرى","Weitere Apps","Otras aplicaciones","Muut sovellukset","Autres applications","További alkalmazások","Altre app","その他のアプリ","다른 앱","മറ്റ് ആപ്പുകൾ","Andere apps","Inne aplikacje","Outros aplicativos","Outras aplicações","Другие приложения","Andra appar","Інші застосунки","其他应用","其他應用程式","[Óţhéŕ áppš !!!!]"
"IDS_FLYPHOTOS_BLURB","Fast, lightweight, and minimalist photo viewer designed for the modern Windows","About box. One-line description of FlyPhotos, another app. The app name is not in the string.","عارض صور سريع وخفيف وبسيط مصمم لنظام Windows الحديث","Schneller, schlanker und minimalistischer Fotobetrachter für das moderne Windows","Visor de fotos rápido, ligero y minimalista diseñado para el Windows moderno","Nopea, kevyt ja pelkistetty kuvakatselin nykyaikaiselle Windowsille","Visionneuse de photos rapide, légère et minimaliste conçue pour le Windows moderne","Gyors, könnyű és minimalista fényképnézegető a modern Windowshoz","Visualizzatore di foto veloce, leggero e minimalista progettato per il Windows moderno","最新の Windows 向けに設計された、高速で軽量、ミニマルな写真ビューアー","최신 Windows를 위해 설계된 빠르고 가벼운 미니멀 사진 뷰어","ആധുനിക Windows-നായി രൂപകൽപ്പന ചെയ്ത വേഗതയേറിയ, ഭാരം കുറഞ്ഞ, ലളിതമായ ഫോട്ടോ വ്യൂവർ","Snelle, lichte en minimalistische fotoviewer ontworpen voor het moderne Windows","Szybka, lekka i minimalistyczna przeglądarka zdjęć zaprojektowana dla nowoczesnego systemu Windows","Visualizador de fotos rápido, leve e minimalista projetado para o Windows moderno","Visualizador de fotografias rápido, leve e minimalista concebido para o Windows moderno","Быстрый, легкий и минималистичный просмотрщик фотографий для современной версии Windows","Snabb, lätt och minimalistisk bildvisare utformad för det moderna Windows","Швидкий, легкий і мінімалістичний переглядач фотографій для сучасної версії Windows","专为现代 Windows 设计的快速、轻量、极简的照片查看器","專為現代 Windows 設計的快速、輕量、極簡的相片檢視器","[Fášţ, ĺíğhţwéíğhţ, áñđ míñímáĺíšţ phóţó víéwéŕ đéšíğñéđ fóŕ ţhé móđéŕñ Wíñđówš !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!]"
"IDS_LETITRAIN_BLURB","Desktop Rain and Snow Simulator for Windows","About box. One-line description of Let It Rain, another app. The app name is not in the string.","محاكي المطر والثلج لسطح مكتب Windows","Regen- und Schneesimulator für den Windows-Desktop","Simulador de lluvia y nieve para el escritorio de Windows","Sade- ja lumisimulaattori Windowsin työpöydälle","Simulateur de pluie et de neige pour le bureau Windows","Eső- és hószimulátor a Windows asztalára","Simulatore di pioggia e neve per il desktop di Windows","Windows デスクトップ用の雨と雪のシミュレーター","Windows 바탕 화면용 비와 눈 시뮬레이터","Windows ഡെസ്ക്ടോപ്പിനുള്ള മഴയും മഞ്ഞും സിമുലേറ്റർ","Regen- en sneeuwsimulator voor het Windows-bureaublad","Symulator deszczu i śniegu na pulpit systemu Windows","Simulador de chuva e neve para a área de trabalho do Windows","Simulador de chuva e neve para o ambiente de trabalho do Windows","Симулятор дождя и снега для рабочего стола Windows","Regn- och snösimulator för Windows-skrivbordet","Симулятор дощу та снігу для робочого столу Windows","Windows 桌面雨雪模拟器","Windows 桌面雨雪模擬器","[Déškţóp Ráíñ áñđ Šñów Šímúĺáţóŕ fóŕ Wíñđówš !!!!!!!!!!!!!!!!!!]"
"IDS_WTICK_BLURB","The time in cities around the world, on your desktop.","About box. One-line description of WTick, a world clock app. The app name is not in the string.","الوقت في مدن حول العالم، على سطح مكتبك.","Die Uhrzeit in Städten rund um die Welt, auf Ihrem Desktop.","La hora en ciudades de todo el mundo, en tu escritorio.","Kellonaika maailman kaupungeissa, työpöydälläsi.","L'heure dans les villes du monde entier, sur votre bureau.","A világ városainak pontos ideje az asztalán.","L'ora nelle città di tutto il mondo, sul tuo desktop.","世界各都市の時刻を、デスクトップに。","전 세계 도시의 시간을 바탕 화면에서 확인하세요.","ലോകമെമ്പാടുമുള്ള നഗരങ്ങളിലെ സമയം, നിങ്ങളുടെ ഡെസ്ക്ടോപ്പിൽ.","De tijd in steden over de hele wereld, op uw bureaublad.","Czas w miastach na całym świecie, na Twoim pulpicie.","A hora em cidades do mundo todo, na sua área de trabalho.","A hora em cidades de todo o mundo, no seu ambiente de trabalho.","Время в городах по всему миру, прямо на рабочем столе.","Tiden i städer runt om i världen, på ditt skrivbord.","Час у містах по всьому світу, на вашому робочому столі.","在桌面上查看世界各地城市的时间。","在桌面上查看世界各地城市的時間。","[Thé ţímé íñ çíţíéš áŕóúñđ ţhé wóŕĺđ, óñ ýóúŕ đéškţóp. !!!!!!!!!!!!!!!!!!!!!!]"
"IDS_DESKFLIP_BLURB","Flip clock widget for the Windows desktop","About box. One-line description of DeskFlip, a flip clock app. The app name is not in the string.","أداة ساعة قلّابة لسطح مكتب Windows","Klappuhr-Widget für den Windows-Desktop","Widget de reloj abatible para el escritorio de Windows","Kääntökellowidget Windowsin työpöydälle","Widget d'horloge à volets pour le bureau Windows","Lapozós óra widget a Windows asztalára","Widget orologio a palette per il desktop di Windows","Windows デスクトップ用のフリップ時計ウィジェット","Windows 바탕 화면용 플립 시계 위젯","Windows ഡെസ്ക്ടോപ്പിനുള്ള ഫ്ലിപ്പ് ക്ലോക്ക് വിജറ്റ്","Klapklokwidget voor het Windows-bureaublad","Widżet zegara z klapkami na pulpit systemu Windows","Widget de relógio flip para a área de trabalho do Windows","Widget de relógio flip para o ambiente de trabalho do Windows","Виджет перекидных часов для рабочего стола Windows","Flipklockwidget för Windows-skrivbordet","Віджет перекидного годинника для робочого столу Windows","适用于 Windows 桌面的翻页时钟小组件","適用於 Windows 桌面的翻頁時鐘小工具","[Fĺíp çĺóçk wíđğéţ fóŕ ţhé Wíñđówš đéškţóp !!!!!!!!!!!!!!!!!]"
"IDS_FACE_SIMPLE","Simple","Clock face name, in the Face submenu and the Customize title. An analog face with plain hands.","بسيطة","Schlicht","Sencilla","Yksinkertainen","Simple","Egyszerű","Semplice","シンプル","심플","ലളിതം","Eenvoudig","Prosta","Simples","Simples","Простой","Enkel","Простий","简约","簡約","[Šímpĺé !!!]"
"IDS_FACE_CLASSIC_DARK","Classic dark","Clock face name. A traditional analog dial with a dark face.","كلاسيكية داكنة","Klassisch dunkel","Clásica oscura","Klassinen tumma","Classique sombre","Klasszikus sötét","Classico scuro","クラシック ダーク","클래식 다크","ക്ലാസിക് ഇരുണ്ടത്","Klassiek donker","Klasyczna ciemna","Clássico escuro","Clássico escuro","Классический темный","Klassisk mörk","Класичний темний","经典深色","經典深色","[Çĺáššíç đáŕk !!!!!]"
"IDS_FACE_CLASSIC_LIGHT","Classic light","Clock face name. A traditional analog dial with a light face.","كلاسيكية فاتحة","Klassisch hell","Clásica clara","Klassinen vaalea","Classique clair","Klasszikus világos","Classico chiaro","クラシック ライト","클래식 라이트","ക്ലാസിക് ഇളംനിറം","Klassiek licht","Klasyczna jasna","Clássico claro","Clássico claro","Классический светлый","Klassisk ljus","Класичний світлий","经典浅色","經典淺色","[Çĺáššíç ĺíğhţ !!!!!!]"
"IDS_FACE_MINIMAL","Minimal","Clock face name. An analog face with almost no markings.","مبسطة","Minimal","Minimalista","Pelkistetty","Minimal","Minimál","Minimale","ミニマル","미니멀","മിനിമൽ","Minimaal","Minimalistyczna","Minimalista","Minimalista","Минимальный","Minimal","Мінімальний","极简","極簡","[Míñímáĺ !!!]"
"IDS_FACE_ICON","Icon","Clock face name. An analog face drawn in the style of the app icon.","أيقونة","Symbol","Icono","Kuvake","Icône","Ikon","Icona","アイコン","아이콘","ഐക്കൺ","Pictogram","Ikona","Ícone","Ícone","Значок","Ikon","Піктограма","图标","圖示","[Íçóñ !!]"
"IDS_FACE_BOLD","Bold","Clock face name. An analog face with a thick coloured ring. Adjective describing the style, not font weight.","ثقيلة","Fett","Marcada","Tukeva","Gras","Vaskos","Marcato","ボールド","볼드","കനത്തത്","Vet","Pogrubiona","Marcado","Marcado","Жирный","Fet","Жирний","厚重","厚重","[Bóĺđ !!]"
"IDS_FACE_FLAT","Flat","Clock face name. An analog face in flat design, no shading.","مسطحة","Flach","Plana","Litteä","Plat","Lapos","Piatto","フラット","플랫","പരന്നത്","Vlak","Płaska","Plano","Plano","Плоский","Platt","Плоский","扁平","扁平","[Fĺáţ !!]"
"IDS_FACE_GLASS","Glass","Clock face name. An analog face that looks like frosted glass. Noun: the material.","زجاجية","Glas","Cristal","Lasi","Verre","Üveg","Vetro","ガラス","글래스","ഗ്ലാസ്","Glas","Szkło","Vidro","Vidro","Стекло","Glas","Скло","玻璃","玻璃","[Gĺášš !!]"
"IDS_FACE_DOTS","Dots","Clock face name. An analog face with dots in place of numerals.","نقاط","Punkte","Puntos","Pisteet","Points","Pontok","Punti","ドット","도트","കുത്തുകൾ","Stippen","Kropki","Pontos","Pontos","Точки","Punkter","Крапки","圆点","圓點","[Dóţš !!]"
"IDS_FACE_DIGITAL","Digital","Clock face name. Shows the time as digits.","رقمية","Digital","Digital","Digitaalinen","Numérique","Digitális","Digitale","デジタル","디지털","ഡിജിറ്റൽ","Digitaal","Cyfrowa","Digital","Digital","Цифровой","Digital","Цифровий","数字","數字","[Díğíţáĺ !!!]"
"IDS_FACE_DIGITAL_BOLD","Digital bold","Clock face name. Digital, with large bold digits.","رقمية عريضة","Digital fett","Digital negrita","Digitaalinen lihavoitu","Numérique gras","Digitális félkövér","Digitale grassetto","デジタル ボールド","디지털 볼드","ഡിജിറ്റൽ കട്ടിയുള്ളത്","Digitaal vet","Cyfrowa pogrubiona","Digital negrito","Digital negrito","Цифровой жирный","Digital fet","Цифровий напівжирний","数字粗体","數字粗體","[Díğíţáĺ bóĺđ !!!!!]"
"IDS_FACE_WORD","Word clock","Clock face name. Spells the time in English words on a letter grid; the grid itself stays English.","ساعة بالكلمات","Wortuhr","Reloj de palabras","Sanakello","Horloge en mots","Szöveges óra","Orologio a parole","文字時計","워드 클록","വേഡ് ക്ലോക്ക്","Woordklok","Zegar słowny","Relógio por extenso","Relógio por extenso","Словесные часы","Ordklocka","Словесний годинник","文字时钟","文字時鐘","[Wóŕđ çĺóçk !!!!]"
"IDS_FACE_STACK","Stack","Clock face name. Hours stacked above minutes in large digits.","مكدسة","Stapel","Apilada","Pinottu","Empilé","Halmozott","Impilato","スタック","스택","സ്റ്റാക്ക്","Gestapeld","Ułożona","Empilhado","Empilhado","Стопка","Staplad","Стос","堆叠","堆疊","[Šţáçk !!]"
"IDS_FACE_TERMINAL","Terminal","Clock face name. Looks like a command-line terminal printing the time.","طرفية","Terminal","Terminal","Pääte","Terminal","Terminál","Terminale","ターミナル","터미널","ടെർമിനൽ","Terminal","Terminal","Terminal","Terminal","Терминал","Terminal","Термінал","终端","終端機","[Téŕmíñáĺ !!!!]"
"IDS_FACE_BANNER","Banner","Clock face name. The time in one wide line of large condensed digits.","شريط","Banner","Banner","Banneri","Bandeau","Szalag","Banner","バナー","배너","ബാനർ","Banner","Baner","Banner","Faixa","Баннер","Banner","Банер","横幅","橫幅","[Báññéŕ !!!]"
"IDS_FACE_SPLIT","Split","Clock face name. Hours and minutes in two separate coloured blocks.","مقسمة","Geteilt","Dividida","Jaettu","Divisé","Osztott","Diviso","スプリット","분할","സ്പ്ലിറ്റ്","Gesplitst","Podzielona","Dividido","Dividido","Раздельный","Delad","Розділений","分割","分割","[Špĺíţ !!]"
"IDS_FACE_IMAGE","Image","Clock face name. Hands drawn over a picture supplied by the user.","صورة","Bild","Imagen","Kuva","Image","Kép","Immagine","画像","이미지","ചിത്രം","Afbeelding","Obraz","Imagem","Imagem","Изображение","Bild","Зображення","图片","圖片","[Ímáğé !!]"
"IDS_OPT_HOUR24","24-hour clock","Customize option, checkbox. Shows 13:00 rather than 1:00.","نظام 24 ساعة","24-Stunden-Format","Formato de 24 horas","24 tunnin kello","Format 24 heures","24 órás formátum","Formato 24 ore","24 時間表示","24시간 표시","24 മണിക്കൂർ ക്ലോക്ക്","24-uursnotatie","Zegar 24-godzinny","Formato de 24 horas","Formato de 24 horas","24-часовой формат","24-timmarsvisning","24-годинний формат","24 小时制","24 小時制","[24-hóúŕ çĺóçk !!!!!!]"
"IDS_OPT_ACCENT_12","Accent 12 marker","Customize option, checkbox. Draws the 12 o'clock mark in the accent colour.","تمييز علامة 12","Akzent auf der 12","Acento en el 12","Korostettu 12","Accent sur le 12","Kiemelt 12-es jelzés","Accento sul 12","12 時位置を強調","12시 강조 표시","12-ൽ ഊന്നൽ അടയാളം","Accent op de 12","Wyróżnienie dwunastki","Destaque no 12","Destaque no 12","Акцент на цифре 12","Accent på tolvan","Акцент на цифрі 12","突出显示 12 点","強調 12 點","[Áççéñţ 12 máŕkéŕ !!!!!!!]"
"IDS_OPT_ACCENT_COLOUR","Accent colour","Customize option label beside a colour button. The highlight colour (seconds hand, markers).","لون التمييز","Akzentfarbe","Color de acento","Korostusväri","Couleur d'accentuation","Kiemelőszín","Colore dell'accento","アクセントの色","강조 색","ഊന്നൽ നിറം","Accentkleur","Kolor wyróżnienia","Cor de destaque","Cor de destaque","Цвет акцента","Accentfärg","Колір акценту","强调色","強調色","[Áççéñţ çóĺóúŕ !!!!!!]"
"IDS_OPT_BLINK","Blinking cursor","Customize option, checkbox, Terminal face. A text cursor that blinks after the time.","مؤشر وامض","Blinkender Cursor","Cursor parpadeante","Vilkkuva kohdistin","Curseur clignotant","Villogó kurzor","Cursore lampeggiante","カーソルを点滅させる","커서 깜박임","മിന്നുന്ന കഴ്സർ","Knipperende cursor","Migający kursor","Cursor piscante","Cursor intermitente","Мигающий курсор","Blinkande markör","Миготливий курсор","光标闪烁","游標閃爍","[Bĺíñkíñğ çúŕšóŕ !!!!!!]"
"IDS_OPT_DATE_FORMAT","Date format","Customize option label beside a list: Long date / Short date.","تنسيق التاريخ","Datumsformat","Formato de fecha","Päivämäärän muoto","Format de date","Dátumformátum","Formato della data","日付の形式","날짜 형식","തീയതി ഫോർമാറ്റ്","Datumnotatie","Format daty","Formato da data","Formato da data","Формат даты","Datumformat","Формат дати","日期格式","日期格式","[Dáţé fóŕmáţ !!!!!]"
"IDS_OPT_DIAL_COLOUR","Dial colour","Customize option label beside a colour button. The background of an analog dial.","لون واجهة الساعة","Zifferblattfarbe","Color de la esfera","Kellotaulun väri","Couleur du cadran","Számlap színe","Colore del quadrante","文字盤の色","시계판 색","ഡയലിന്റെ നിറം","Wijzerplaatkleur","Kolor tarczy","Cor do mostrador","Cor do mostrador","Цвет циферблата","Urtavlans färg","Колір циферблата","表盘颜色","錶面色彩","[Díáĺ çóĺóúŕ !!!!!]"
"IDS_OPT_DIGIT_COLOUR","Digit colour","Customize option label beside a colour button.","لون الأرقام","Ziffernfarbe","Color de los dígitos","Numeroiden väri","Couleur des chiffres","Számjegyek színe","Colore delle cifre","数字の色","숫자 색","അക്കങ്ങളുടെ നിറം","Cijferkleur","Kolor cyfr","Cor dos dígitos","Cor dos dígitos","Цвет цифр","Siffrornas färg","Колір цифр","数字颜色","數字色彩","[Díğíţ çóĺóúŕ !!!!!]"
"IDS_OPT_DOT_COUNT","Dot count","Customize option label beside a list of numbers: how many dots mark the dial.","عدد النقاط","Anzahl Punkte","Número de puntos","Pisteiden määrä","Nombre de points","Pontok száma","Numero di punti","ドットの数","점 개수","കുത്തുകളുടെ എണ്ണം","Aantal stippen","Liczba kropek","Número de pontos","Número de pontos","Количество точек","Antal punkter","Кількість крапок","圆点数量","圓點數量","[Dóţ çóúñţ !!!!]"
"IDS_OPT_DOT_SIZE","Dot size","Customize option label beside a list: Small / Normal size / Large.","حجم النقاط","Punktgröße","Tamaño de los puntos","Pisteiden koko","Taille des points","Pontok mérete","Dimensione dei punti","ドットの大きさ","점 크기","കുത്തുകളുടെ വലുപ്പം","Stipgrootte","Rozmiar kropek","Tamanho dos pontos","Tamanho dos pontos","Размер точек","Punkternas storlek","Розмір крапок","圆点大小","圓點大小","[Dóţ šížé !!!!]"
"IDS_OPT_DROP_SHADOW","Drop shadow","Customize option, checkbox. A shadow behind the digits.","ظل خارجي","Schlagschatten","Sombra paralela","Varjo","Ombre portée","Vetett árnyék","Ombra esterna","ドロップ シャドウ","그림자","നിഴൽ","Slagschaduw","Cień","Sombra projetada","Sombra projetada","Тень","Skugga","Тінь","投影","陰影","[Dŕóp šháđów !!!!!]"
"IDS_OPT_FACE_COLOUR","Face colour","Customize option label beside a colour button. The fill of the clock face.","لون الخلفية","Grundfarbe","Color de fondo","Taustaväri","Couleur de fond","Háttérszín","Colore di sfondo","背景の色","배경색","പശ്ചാത്തല നിറം","Achtergrondkleur","Kolor tła","Cor de fundo","Cor de fundo","Цвет фона","Bakgrundsfärg","Колір тла","背景颜色","背景色彩","[Fáçé çóĺóúŕ !!!!!]"
"IDS_OPT_FROST","Frost","Customize option label beside a list: Clear / Frosted / Opaque. How see-through the glass is. Noun.","زجاج مصنفر","Mattierung","Vidrio esmerilado","Huurrelasi","Verre dépoli","Homályos üveg","Vetro smerigliato","すりガラス効果","간유리","സുതാര്യത","Matheid","Matowe szkło","Vidro fosco","Vidro fosco","Матовость","Frostat glas","Матовість","磨砂效果","霧面效果","[Fŕóšţ !!]"
"IDS_OPT_HAND_COLOUR","Hand colour","Customize option label beside a colour button. Hands of an analog clock.","لون العقارب","Zeigerfarbe","Color de las manecillas","Viisareiden väri","Couleur des aiguilles","Mutatók színe","Colore delle lancette","針の色","바늘 색","സൂചികളുടെ നിറം","Wijzerkleur","Kolor wskazówek","Cor dos ponteiros","Cor dos ponteiros","Цвет стрелок","Visarnas färg","Колір стрілок","指针颜色","指針色彩","[Háñđ çóĺóúŕ !!!!!]"
"IDS_OPT_HOUR_BLOCK","Hour block colour","Customize option label beside a colour button, Split face. The block behind the hour digits.","لون كتلة الساعات","Farbe des Stundenblocks","Color del bloque de horas","Tuntilohkon väri","Couleur du bloc des heures","Óratömb színe","Colore del blocco delle ore","時ブロックの色","시 블록 색","മണിക്കൂർ ബ്ലോക്കിന്റെ നിറം","Kleur van het urenblok","Kolor bloku godzin","Cor do bloco das horas","Cor do bloco das horas","Цвет блока часов","Timblockets färg","Колір блоку годин","小时块颜色","小時區塊色彩","[Hóúŕ bĺóçk çóĺóúŕ !!!!!!!]"
